GeneID,gene_description
DDB_G0269494,has similarity to SAP domain-containing proteins
DDB_G0274219,has similarity to B box-type domain-containing protein
DDB_G0294555,has similarity to F-box domain-containing proteins
DDB_G0284355,ortholog of human ZC3HC1
DDB_G0286711,contains one predicted amino terminal transmembrane domain and an extracellular domain
DDB_G0283991,predicted to have 9 transmembrane domains
DDB_G0273133,has similarity to DEP domain-containing proteins
DDB_G0271408,has similarity to SAP domain-containing proteins
DDB_G0281157,predicted to have one C-terminal transmembrane domain
DDB_G0273769,has similarity to B box-type domain-containing protein
DDB_G0277757,predicted to have a signal peptide and an extracellular domain
DDB_G0291119,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0267692,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0272769,predicted to have 11 transmembrane domains
DDB_G0282673,predicted to have 10 transmembrane domains
DDB_G0278531,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0285127,ortholog of human TMPPE; predicted to have one transmembrane domain
DDB_G0276739,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0284887,ortholog of human PDCD2L
DDB_G0276745,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0293638,has similarity to panther CBM49 domain-containing protein; predicted to have a signal peptide and an extracellular domain
DDB_G0270532,predicted to have a signal peptide and an extracellular domain
DDB_G0270310,predicted to have 4 transmembrane domains
DDB_G0276705,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0270936,predicted to have 7 transmembrane domains
DDB_G0267768,ortholog of human MYG1
DDB_G0272977,has similarity to B box-type domain-containing protein
DDB_G0277963,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0271786,has similarity to a family of proteins possibly involved in intracellular vesicle transport; predicted to have 12 transmembrane domains
DDB_G0271478,has similarity to SAP domain-containing proteins
DDB_G0275793,ortholog of human SLC35F5; predicted to have 10 transmembrane domains
DDB_G0278713,ortholog of human PLPBP
DDB_G0279229,predicted to have a signal peptide and an extracellular domain
DDB_G0290285,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0269880,ortholog of human SUGCT
DDB_G0270926,predicted to have a signal peptide and an extracellular domain
DDB_G0276869,predicted to have a signal peptide and an extracellular domain
DDB_G0281235,ortholog of human NECAP1
DDB_G0280429,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0277525,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0285627,predicted to have a signal peptide and an extracellular domain
DDB_G0289703,predicted to have 12 transmembrane domains
DDB_G0292968,predicted to have a signal peptide and an extracellular domain
DDB_G0270060,predicted to have a signal peptide and an extracellular domain
DDB_G0286707,ortholog of human RMC1
DDB_G0285895,"similar to GDT family protein kinases, but lacks a protein kinase domain; predicted to have a signal peptide, an extracellular domain and a transmembrane domain"
DDB_G0269564,predicted to have a signal peptide and an extracellular domain
DDB_G0283849,ortholog of human Mmadhc
DDB_G0269782,ortholog of human DNAJC25; predicted to have two transmembrane domains
DDB_G0282701,predicted to have a signal peptide and an extracellular domain
DDB_G0280149,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0271024,predicted to have a signal sequence and extracellular domain
DDB_G0284233,predicted to have 3 transmembrane domains
DDB_G0286317,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0278879,"predicted to have a signal peptide, an extracellular domain and a transmembrane domain"
DDB_G0290399,has similarity to microtubule-associated protein 7 domain-containing protein
DDB_G0287063,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0271912,similarity to PANTHER family EPHRIN_REC_LIKE DOMAIN-CONTAINING PROTEIN
DDB_G0269754,ortholog of human TMPPE
DDB_G0280063,predicted to have 7 transmembrane domains
DDB_G0268554,has similarity to F-box domain-containing proteins
DDB_G0293176,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0268762,ortholog of human CCDC86
DDB_G0281421,has similarity to B box-type domain-containing protein
DDB_G0286469,ortholog of human PSTK
DDB_G0288641,predicted to have two transmembrane domains
DDB_G0269598,predicted to have two transmembrane domains; has similarity to zinc-binding domain-containing proteins
DDB_G0277789,ortholog of human TMCO4
DDB_G0287897,has similarity to PAM2-like motif domain-containing protein family
DDB_G0270802,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0292070,contains an F-box domain and 6 Kelch repeats; ortholog of human IVNS1ABP
DDB_G0291045,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0286877,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0273075,has similarity to B box-type domain-containing protein
DDB_G0274681,has similarity to golvesin-related protein
DDB_G0289965,predicted to have two transmembrane domains
DDB_G0285283,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER Prespore-cell-inducing factor family
DDB_G0283143,predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0306979,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0280299,predicted to have a signal peptide and an extracellular domain
DDB_G0272504,predicted to have a signal peptide and an extracellular domain
DDB_G0275713,predicted to have a signal sequence and an extracellular domain
DDB_G0274975,predicted to have 10 transmembrane domains
DDB_G0283691,predicted to have a signal peptide and an extracellular domain
DDB_G0281083,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER Prespore-cell-inducing factor family
DDB_G0274177,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0289051,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0271634,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have an extracellular domain and one C-terminal transmembrane domain
DDB_G0271354,predicted to have a signal peptide and an extracellular domain
DDB_G0292722,ortholog of human NDUFAF3
DDB_G0268996,predicted to have 12 transmembrane domains
DDB_G0285687,has similarity to PANTHER family THH1_TOM1_TOM3 DOMAIN-CONTAINING PROTEIN-RELATED-RELATED; predicted to have 7 transmembrane domains
DDB_G0273497,predicted to have 5 transmembrane domains
DDB_G0279957,predicted to have a signal peptide and a C-teminal transmembrane domain
DDB_G0280333,predicted to have a signal peptide and an extracellular domain
DDB_G0280759,predicted to have a signal sequence and extracellular domain
DDB_G0268784,predicted to have 12 transmembrane domains
DDB_G0290423,ortholog of human MFSD6; predicted to have 11 transmembrane domains
DDB_G0292116,ortholog of human HSDL2
DDB_G0272951,ortholog of human PSMD5
DDB_G0293762,predicted to have a signal peptide and an extracellular domain
DDB_G0270524,predicted to have 2 transmembrane domains
DDB_G0284443,predicted to have 7 transmembrane domains
DDB_G0295779,predicted to have a signal peptide and an extracellular domain
DDB_G0269834,predicted to have a signal peptide and an extracellular domain
DDB_G0278669,predicted to have 4 transmembrane domains
DDB_G0288695,"has similarity to UPF0746, a family predicted to be involved in organization of the actin cytoskeleton"
DDB_G0278451,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0292336,has similarity to ankyrin repeats
DDB_G0267672,has similarity to SAP domain-containing proteins
DDB_G0272773,predicted to have a signal peptide and an extracellular domain
DDB_G0272606,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0270180,ortholog of yeast HOT13
DDB_G0272456,ortholog of human HEATR6
DDB_G0291760,predicted to have a signal peptide and an extracellular domain
DDB_G0285201,ortholog of human AVL9
DDB_G0274677,add to
DDB_G0291019,has similarity to NAD(P)-dependent oxidoreductases
DDB_G0271624,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0273441,predicted to have 5 transmembrane domains
DDB_G0273371,has similarity to B box-type domain-containing protein
DDB_G0290143,predicted to have a signal peptide and an extracellular domain
DDB_G0278411,"similarity to PANTHER family ATP-DEPENDENT HELICASE/DEOXYRIBONUCLEASE SUBUNIT B; predicted to have a signal peptide, an extracellular domain and a transmembrane domain"
DDB_G0307043,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0281259,ortholog of human METTL9
DDB_G0283103,predicted to have a signal peptide and an extracellular domain
DDB_G0289731,protein N-terminal domain-containing protein
DDB_G0349205,"predicted to have a signal peptide, an extracellular domain and 7 C-terminal transmembrane domains"
DDB_G0278923,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0292868,ortholog of human GOLT1B; predicted to have 4 transmembrane domains
DDB_G0288197,"predicted to have a signal sequence, an extracellular domain and a transmembrane domain"
DDB_G0271724,ortholog of human RRP15
DDB_G0272767,predicted to have a signal peptide and an extracellular domain
DDB_G0273297,has similarity to B box-type domain-containing protein
DDB_G0287471,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0269170,ortholog of yeast TVP15; predicted to have 4 transmembrane domains
DDB_G0272937,has similarity to B box-type domain-containing protein
DDB_G0270342,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER Prespore-cell-inducing factor family
DDB_G0286881,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0274931,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0292016,ortholog of human VWA5A
DDB_G0269970,predicted to have 4 transmembrane domains
DDB_G0291428,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0272470,ortholog of human SMG8
DDB_G0277669,ortholog of yeast glucose-6-phosphate 1-epimerase
DDB_G0284805,predicted to have a signal peptide and an extracellular domain
DDB_G0274735,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0289451,ortholog of human TMEM167A
DDB_G0286933 (tnlB),belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0283623,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276925,predicted to have a signal peptide and an extracellular domain
DDB_G0281617,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0284131,has similarity to SAP domain-containing proteins
DDB_G0278313,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0283775,has similarity to B box-type domain-containing protein
DDB_G0286873,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0288293,ortholog of human PGAP2
DDB_G0287275,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0276697,has similarity to PANTHER family of proteins associated with plant stress responses
DDB_G0288931,predicted to have a signal peptide and an extracellular domain
DDB_G0292830,predicted to have 13 transmembrane domains
DDB_G0280121,ortholog of human ZMAT2
DDB_G0267612,predicted to have a signal peptide and an extracellular domain
DDB_G0273633,has similarity to DEP domain-containing proteins
DDB_G0284933,has similarity to B box-type domain-containing protein
DDB_G0287655,predicted to have a signal peptide and an extracellular domain
DDB_G0278231,predicted to have 3 transmembrane domains
DDB_G0267792,has similarity to endotoxin_N domain-containing protein
DDB_G0279509,has similarity to zinc finger proteins
DDB_G0280867,"predicted to have a signal peptide, an extracellular domain, and a C-terminal transmembrane domain"
DDB_G0272480,has similarity to negative elongation factor A domain-containing proteins
DDB_G0290107,similarity to zinc binding domain-containing proteins; predicted to have 9 transmembrane domains
DDB_G0268526,has similarity to protein kinase family
DDB_G0276581,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0282139,ortholog of human TMEM185A; predicted to have 8 transmembrane domains
DDB_G0291099,ortholog of human MSTO1
DDB_G0292620,ortholog of human and yeast COQ4
DDB_G0281231,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0271418,has similarity to SAP domain-containing proteins
DDB_G0290349,predicted to have one transmembrane domain
DDB_G0279635,ortholog of human SAP30BP
DDB_G0284371,ortholog of human YAE1
DDB_G0290417,predicted to have a signal peptide and an extracellular domain
DDB_G0287195,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0281761,has similarity to RNA-binding proteins
DDB_G0269164,has similarity to human PCLO
DDB_G0277169,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0282131,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0269322,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0284179,has similarity to SAP domain-containing proteins
DDB_G0283851,predicted to have a signal peptide and an extracellular domain
DDB_G0288869,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268846,predicted to have a signal peptide and an extracellular domain
DDB_G0272174,has similarity to golvesin-related protein
DDB_G0290993,predicted to have a signal peptide and an extracellular domain
DDB_G0271330,has similarity to SAP domain-containing proteins
DDB_G0272438,has similarity to B box-type domain-containing protein
DDB_G0277205,predicted to have 3 transmembrane domains
DDB_G0286595,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0293186,predicted to have a signal sequence and an extracellular domain
DDB_G0287703,predicted to have a C-terminal transmembrane domain
DDB_G0271294,putative E3 ubiquitin-protein ligase; ortholog of mouse Ark2c
DDB_G0274189,predicted to have a signal peptide and an extracellular domain
DDB_G0272198,predicted to have a signal peptide and an extracellular domain
DDB_G0277311,has similarity to
DDB_G0293940,predicted to have a signal peptide and an extracellular domain
DDB_G0273089,"ortholog of human COQ10A, COQ10B"
DDB_G0283495,ortholog of human WDR70
DDB_G0287239,predicted to have 7 transmembrane domains
DDB_G0279829,predicted to have 7 transmembrane domains
DDB_G0284105,orthlog of human ZNF277
DDB_G0281159,has similarity to Myb-like domain-containing protein
DDB_G0272302,ortholog of human PET117; predicted to have one transmembrane domain
DDB_G0290675,predicted to have 3 transmembrane domains
DDB_G0283577,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0268094,predicted to have a signal sequence and an extracellular domain; has similarity to PANTHER family of proteins involved in differentiation and development
DDB_G0288301,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0267576,ortholog of human PDRG1
DDB_G0271362,has similarity to SAP domain-containing proteins
DDB_G0276847,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0276489,ortholog of human ZFPL1; predicted to have one transmembrane domain
DDB_G0290835,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270744,ortholog of human RABL6
DDB_G0290061,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0286313,predicted to have a signal peptide and an extracellular domain
DDB_G0271150,predicted to have one transmembrane domain
DDB_G0278325,"predicted to have a signal peptide, an extracellular domain and a C-terminal transmembrane domain"
DDB_G0288091,has similarity to Rho GTPase-activating proteins
DDB_G0286791,predicted to have a signal peptide and an extracellular domain
DDB_G0292154,has similarity to B box-type domain-containing protein
DDB_G0274277,has similarity to B box-type domain-containing protein
DDB_G0278233,ortholog of human DNAJC17
DDB_G0285975,ortholog of human VWA5A
DDB_G0270304,predicted to have 4 transmembrane domains
DDB_G0288867,has similarity to B box-type domain-containing protein
DDB_G0287841,predicted to have a signal peptide and a C-teminal transmembrane domain
DDB_G0270914,predicted to have a signal peptide and an extracellular domain
DDB_G0289205,has similarity to a family of proteins involved in regulation of the cAMP signaling pathway; predicted to have 12 transmembrane domains
DDB_G0269990,ortholog of human TBCE
DDB_G0292468,ortholog of human KRI1
DDB_G0275033,has similarity to a PANTHER family of proteins involved in immune response modulation
DDB_G0268844,predicted to have a signal peptide and an extracellular domain
DDB_G0277421,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0273593,has similarity to PANTHER family Mediator complex subunit 12
DDB_G0277415,has similarity to a serine/threonine-protein kinase-related domain
DDB_G0281027,predicted to have one transmembrane domain
DDB_G0275251,predicted to have a signal peptide and an extracellular domain
DDB_G0278381,ortholog of human ARHGAP15
DDB_G0271638,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0287877,has similarity to PANTHER monoglucosyldiacylglycerol epimerase family
DDB_G0272540,has similarity to SAP domain-containing proteins
DDB_G0270058,predicted to have a signal peptide and an extracellular domain
DDB_G0273803,"ortholog of human COQ10A, COQ10B"
DDB_G0284779,has similarity to PANTHER PhistB domain-containing ResA-like protein 1 family
DDB_G0281967,predicted to have a signal peptide and an extracellular domain
DDB_G0268384,contains a C2 domain and TPR domain
DDB_G0289315,has similarity to B box-type domain-containing protein
DDB_G0267684,predicted to have a signal peptide and an extracellular domain
DDB_G0278441,predicted to have three transmembrane domains
DDB_G0285439,ortholog of human PPP1R21
DDB_G0267720,predicted to have a signal sequence and extracellular domain
DDB_G0282655,ortholog of human TMA16
DDB_G0274685,has similarity to golvesin-related protein
DDB_G0268420,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0267608,predicted to have a signal peptide and an extracellular domain
DDB_G0280003,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0290839,has similarity to F-box domain-containing proteins
DDB_G0279091,has similarity to golvesin-related protein
DDB_G0284633,predicted to have 5 transmembrane domains
DDB_G0285219,predicted to have a signal peptide and an extracellular domain
DDB_G0349136,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0286417,belongs to PANTHER EGF-like domain-containing protein comC family; predicted to have a signal peptide and an extracellular domain
DDB_G0290283,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
DDB_G0270066,predicted to have a signal sequence and extracellular domain
DDB_G0270326,has similarity to B box-type domain-containing protein
DDB_G0292138,ortholog of human EIF1AD
DDB_G0272843,has similarity to SAP domain-containing proteins
DDB_G0272090,has similarity to Kelch/BTB domain-containing proteins; predicted to have six transmembrane domains
DDB_G0277603,"predicted to have a signal peptide, an extracellular domain and a C terminal transmembrane domain"
DDB_G0287479,has similarity to F-box domain-containing proteins
DDB_G0274473,similarity to PANTHER quorum sensing complex regulator family; predicted to have a signal peptide and an extracellular domain and one C-terminal transmembrane domain
