GeneID,gene_product
DDB_G0285049,transmembrane protein
DDB_G0272212,immunoglobulin-like fold domain-containing protein
DDB_G0293244,tRNA (uracil(54)-C(5))-methyltransferase
DDB_G0293448,DnaJ domain-containing protein
DDB_G0269452,putative short-chain dehydrogenase/reductase
DDB_G0270048,FNIP repeat-containing protein
DDB_G0267858,FNIP repeat-containing protein
DDB_G0270278,protein unc-13 homolog family protein
DDB_G0284341,electron transfer flavoprotein regulatory factor 1
DDB_G0271876,B box-type domain-containing protein
DDB_G0270438,NADH-ubiquinone oxidoreductase 21kDa subunit N-terminal domain-containing protein
DDB_G0273135,tRNA (guanosine(18)-2'-O)-methyltransferase family protein
DDB_G0291490,GPI transamidase component PIG-T
DDB_G0275423,"Set1/Ash2 histone methyltransferase complex subunit ASH2-like, winged-helix domain-containing protein"
DDB_G0289637,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0278265,major facilitator superfamily protein
DDB_G0275963,acyltransferase domain-containing protein
DDB_G0282251,FNIP repeat-containing protein
DDB_G0279901,B box-type domain-containing protein
DDB_G0279891,B box-type domain-containing protein
DDB_G0285667,ABC3 transporter permease protein domain-containing protein
DDB_G0287713,putative FAD-binding oxidoreductase
DDB_G0277431,EGF-like domain-containing protein
DDB_G0267530,putative transmembrane protein
DDB_G0289209,DUF6748 domain-containing protein
DDB_G0268108,counting factor associated protein A/B/C-related protein
DDB_G0267868,FNIP repeat-containing protein
DDB_G0291904,VASt domain-containing protein
DDB_G0283945,ankyrin repeat-containing protein
DDB_G0289011,GEL complex subunit OPTI
DDB_G0278333,peptidase S49 domain-containing protein
DDB_G0268394,UPF0592 domain-containing protein
DDB_G0293494,ankyrin repeat-containing protein
DDB_G0272602,RING-type domain-containing protein/FNIP repeat-containing protein
DDB_G0293378,protein disulfide-isomerase TMX3
DDB_G0283743,putative transmembrane protein
DDB_G0283993,EGF-like domain-containing protein
DDB_G0277179,RUS family member 1
DDB_G0285001,FNIP repeat-containing protein
DDB_G0285113,AP-5 complex subunit mu-1
DDB_G0283995,EGF-like domain-containing protein
DDB_G0280117,Slit homolog 1 protein
DDB_G0282839,putative transmembrane protein
DDB_G0273299,putative transmembrane protein
DDB_G0283485,chromatin-remodeling and transcription coactivator family protein
DDB_G0290559,FNIP repeat-containing protein
DDB_G0285669,ABC3 transporter permease protein domain-containing protein
DDB_G0292630,counting factor associated protein A/B/C-related protein
DDB_G0287081,calcineurin-like phosphoesterase domain-containing protein
DDB_G0285151,putative transmembrane protein
DDB_G0288793,FNIP repeat-containing protein
DDB_G0278071,GH18 domain-containing protein
DDB_G0278919,EGF-like domain-containing protein
DDB_G0293644,peptidoglycan-binding LysM domain-containing protein
DDB_G0286861,short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0275553,putative cell surface glycoprotein
DDB_G0268252,SET domain-containing protein
DDB_G0286709,receptor polysaccharide phosphotransferase Stealth family
DDB_G0291888,solute carrier family 35 member F3/F4 family protein
DDB_G0285493,transcription initiation factor TFIID subunit 8
DDB_G0291908,THUMP domain-containing protein
DDB_G0271358,vacuolar ATPase assembly integral membrane protein Vma21
DDB_G0289161,acyl-coenzyme A thioesterase 13 ortholog
DDB_G0285409,putative transmembrane protein
DDB_G0285385,transmembrane protein
DDB_G0276959,EGF-like domain-containing protein
DDB_G0292396,Sec23 family protein
DDB_G0272052,putative cell surface glycoprotein
DDB_G0279143,putative transmembrane protein
DDB_G0286853,counting factor associated protein A/B/C-related protein
DDB_G0268314,EGF-like domain-containing protein
DDB_G0279571,pectin lyase fold domain-containing protein
DDB_G0290459,J domain-containing protein
DDB_G0284355,zinc finger C3HC-type protein 1
DDB_G0292654,putative adenosylcobalamin-dependent ribonucleoside-triphosphate reductase
DDB_G0268428,ankyrin repeat-containing protein
DDB_G0279697,complex 1 LYR protein domain-containing protein
DDB_G0286711,receptor polysaccharide phosphotransferase Stealth family
DDB_G0271950,B box-type domain-containing protein
DDB_G0283991,sulfur transport TsuA/YedE
DDB_G0290527,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0289753,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0284111,FNIP repeat-containing protein
DDB_G0284527,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0287975,chromosome transmission fidelity protein 8
DDB_G0276279,isopenicillin N synthase-like superfamily protein
DDB_G0287083,FNIP repeat-containing protein
DDB_G0286737,FNIP repeat-containing protein
DDB_G0281157,FNIP repeat-containing protein
DDB_G0273769,FNIP repeat-containing protein
DDB_G0277757,glycoside hydrolase family 5 domain-containing protein
DDB_G0274089,counting factor associated protein A/B/C-related protein
DDB_G0271758,FNIP repeat-containing protein
DDB_G0267692,EGF-like domain-containing protein
DDB_G0289963,proline-rich protein PRCC domain-containing protein
DDB_G0278405,FNIP repeat-containing protein
DDB_G0272769,acyltransferase 3 domain-containing protein
DDB_G0282673,EamA domain-containing protein
DDB_G0278531,EGF-like domain-containing protein
DDB_G0289641,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0278797,NAD-dependent epimerase/dehydratase domain-containing protein
DDB_G0285127,transmembrane protein with metallophosphoesterase domain
DDB_G0281073,FNIP repeat-containing protein
DDB_G0284887,programmed cell death protein 2-like protein ortholog
DDB_G0282019,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0270310,putative transmembrane protein
DDB_G0285487,G domain-containing protein
DDB_G0270936,NGX6/PGAP6/MYMK family protein
DDB_G0267768,MYG1 exonuclease ortholog
DDB_G0271786,putative transmembrane protein
DDB_G0275793,solute carrier family 35 member F5
DDB_G0278713,pyridoxal phosphate homeostasis protein
DDB_G0279229,counting factor associated protein A/B/C-related protein
DDB_G0290285,EGF-like domain-containing protein
DDB_G0269880,succinyl-CoA:glutarate CoA-transferase
DDB_G0281235,Adaptin ear-binding coat-associated protein 1 homolog
DDB_G0283963,FAM32 family protein
DDB_G0280429,EGF-like domain-containing protein
DDB_G0277525,EGF-like domain-containing protein
DDB_G0292968,glycoside hydrolase family 16 domain-containing protein
DDB_G0289213,DUF4365 domain-containing protein
DDB_G0270060,EGF-like domain-containing protein
DDB_G0283089,FNIP repeat-containing protein
DDB_G0286707,regulator of MON1-CCZ1 complex protein ortholog
DDB_G0285895,GDT family protein
DDB_G0269564,counting factor associated protein A/B/C-related protein
DDB_G0283849,cobalamin trafficking protein CblD ortholog
DDB_G0269782,DnaJ homolog subfamily C member 25
DDB_G0282701,EGF-like domain-containing protein
DDB_G0280149,EGF-like domain-containing protein
DDB_G0276219,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0278517,oxidoreductase-like domain-containing protein
DDB_G0284233,putative transmembrane protein
DDB_G0286317,putative cell surface glycoprotein
DDB_G0278879,TLK family protein kinase Gdt9
DDB_G0293508,ubiquitin-like-specific protease domain-containing protein
DDB_G0289355,ribosomal RNA methyltransferase FtsJ domain-containing protein
DDB_G0288161,PX domain-containing protein YPR097W-like
DDB_G0275401,VPS9 domain-containing protein
DDB_G0269754,transmembrane protein with metallophosphoesterase domain
DDB_G0280063,THH1/TOM1/TOM3 domain-containing protein
DDB_G0293176,THH1/TOM1/TOM3 domain-containing protein
DDB_G0268762,coiled-coil domain-containing protein 86
DDB_G0292738,NmrA-like domain-containing protein
DDB_G0268424,FYVE-type domain-containing protein
DDB_G0286469,L-seryl-tRNA(Sec) kinase
DDB_G0288641,cytochrome b-245 chaperone 1 family protein
DDB_G0269598,transmembrane protein
DDB_G0277789,transmembrane and coiled-coil domain-containing protein
DDB_G0287897,small MutS related (smr) family protein
DDB_G0278769,cleavage stimulation factor 50 kDa subunit
DDB_G0270802,EGF-like domain-containing protein
DDB_G0291592,FNIP repeat-containing protein
DDB_G0287535,FNIP repeat-containing protein
DDB_G0278915,FNIP repeat-containing protein
DDB_G0291674,short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0291045,EGF-like domain-containing protein
DDB_G0286877,EGF-like domain-containing protein
DDB_G0289185,GRIP domain-containing protein
DDB_G0283143,MRH domain-containing protein
DDB_G0306979,EGF-like domain-containing protein
DDB_G0280299,mannose-6-phosphate receptor binding domain protein
DDB_G0275713,LEG1 family protein
DDB_G0274975,ABC3 transporter permease protein domain-containing protein
DDB_G0280477,leucine-rich melanocyte differentiation-associated family protein
DDB_G0274177,EGF-like domain-containing protein
DDB_G0271634,EGF-like domain-containing protein
DDB_G0292722,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 ortholog
DDB_G0285687,putative transmembrane protein
DDB_G0270690,universal stress protein A family
DDB_G0281751,AB hydrolase-1 domain-containing protein
DDB_G0287017,haloacid dehalogenase-like hydrolase
DDB_G0273497,DUF229 family protein
DDB_G0279957,putative transmembrane protein
DDB_G0280333,counting factor associated protein A/B/C-related protein
DDB_G0290423,major facilitator superfamily domain-containing protein
DDB_G0270776,spermatogenesis-associated protein 20 ortholog
DDB_G0292116,short-chain dehydrogenases/reductase family protein
DDB_G0272951,26S proteasome non-ATPase regulatory subunit 5
DDB_G0270524,FNIP repeat-containing protein
DDB_G0284443,THH1/TOM1/TOM3 domain-containing protein
DDB_G0269834,counting factor associated protein A/B/C-related protein
DDB_G0295807,short-chain dehydrogenase/reductase (SDR) family protein
DDB_G0278669,transmembrane protein
DDB_G0276543,leucine-rich repeat-containing protein
DDB_G0292282,FNIP repeat-containing protein
DDB_G0280655,addiction module toxin HicA family protein
DDB_G0278183,RING-type domain-containing protein
DDB_G0272773,counting factor associated protein A/B/C-related protein
DDB_G0272606,EGF-like domain-containing protein
DDB_G0270180,Helper of Tim protein 13
DDB_G0272456,HEAT repeat-containing protein 6
DDB_G0285201,late secretory pathway protein AVL9 homolog
DDB_G0271624,EGF-like domain-containing protein
DDB_G0273441,DUF229 family protein
DDB_G0290143,counting factor associated protein A/B/C-related protein
DDB_G0307043,EGF-like domain-containing protein
DDB_G0281333,tetratricopeptide-like helical domain-containing protein (TPR)
DDB_G0278527,Sip5/DA2 family protein
DDB_G0267746,FNIP repeat-containing protein
DDB_G0281259,protein-L-histidine N-pros-methyltransferase
DDB_G0349205,THH1/TOM1/TOM3 domain-containing protein
DDB_G0289781,TPR repeat-containing protein
DDB_G0278923,FAM234 family protein
DDB_G0271060,FNIP repeat-containing protein
DDB_G0290215,B-box-type zinc finger protein
DDB_G0288197,integrin beta-like protein D
DDB_G0285337,peptidoglycan-binding LysM domain-containing protein
DDB_G0271724,RRP15-like protein
DDB_G0272767,DUF1045 domain-containing protein
DDB_G0273297,FNIP repeat-containing protein
DDB_G0278663,transmembrane protein 214 family
DDB_G0269170,Golgi apparatus membrane protein TVP15
DDB_G0276831,FNIP repeat-containing protein
DDB_G0268812,putative actin fragmin kinase
DDB_G0278997,putative glutathione S-transferase
DDB_G0282879,HutD/Ves family protein
DDB_G0267762,FNIP repeat-containing protein
DDB_G0276215,glycoside hydrolase family 15 domain-containing protein
DDB_G0286881,EGF-like domain-containing protein
DDB_G0274931,DUF7034 domain-containing protein/DUF7035 domain-containing protein
DDB_G0292016,von Willebrand factor A domain-containing protein
DDB_G0269970,putative transmembrane protein
DDB_G0272066,FNIP repeat-containing protein
DDB_G0272470,nonsense-mediated mRNA decay factor SMG8
DDB_G0277669,glucose-6-phosphate 1-epimerase
DDB_G0290985,F-box domain-containing protein
DDB_G0273129,FNIP repeat-containing protein FnkD
DDB_G0284805,counting factor associated protein A/B/C-related protein
DDB_G0289451,protein kish
DDB_G0283623,EGF-like domain-containing protein
DDB_G0276925,counting factor associated protein A/B/C-related protein
DDB_G0277501,cAMP-binding protein 2
DDB_G0270238,synergin gamma family protein
DDB_G0283977,short-chain dehydrogenase/reductase domain-containing protein
DDB_G0288293,acyltransferase PGAP2
DDB_G0290595,CBS domain-containing protein
DDB_G0287275,EGF-like domain-containing protein
DDB_G0279489,ENTH domain-containing protein
DDB_G0274363,DUF155 domain-containing protein; predicted to have one transmembrane domain
DDB_G0280121,zinc finger matrin-type protein 2
DDB_G0267740,ankyrin repeat-containing protein
DDB_G0267612,counting factor associated protein A/B/C-related protein
DDB_G0292750,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0271188,B box-type domain-containing protein
DDB_G0274963,has similarity to B box-type domain-containing protein
DDB_G0277009,Rhodanese domain-containing protein
DDB_G0287655,DUF6748 domain-containing protein
DDB_G0278231,putative transmembrane protein
DDB_G0286091,FNIP repeat-containing protein
DDB_G0285701,ankyrin repeat-containing protein
DDB_G0273565,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0277767,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0276581,pectin lyase fold domain-containing protein
DDB_G0286869,FNIP repeat-containing protein
DDB_G0280075,FNIP repeat-containing protein
DDB_G0273833,FNIP repeat-containing protein
DDB_G0282139,transmembrane protein 185A
DDB_G0291099,protein misato homolog 1
DDB_G0270506,B box-type domain-containing protein
DDB_G0292620,ubiquinone biosynthesis protein COQ4
DDB_G0281231,EGF-like domain-containing protein
DDB_G0290349,EGF-like domain-containing protein
DDB_G0279635,SAP30-binding protein
DDB_G0284371,protein YAE1 homolog
DDB_G0289045,DUF3605 family protein
DDB_G0287195,pectin lyase fold domain-containing protein
DDB_G0293296,FNIP repeat-containing protein
DDB_G0268362,FNIP repeat-containing protein
DDB_G0283979,G domain-containing protein
DDB_G0277169,EGF-like domain-containing protein
DDB_G0293730,phosphatidylinositol-specific phospholipase C X domain-containing protein
DDB_G0269322,EGF-like domain-containing protein
DDB_G0283097,B box-type domain-containing protein
DDB_G0283851,tyrosine-specific protein phosphatases domain-containing protein
DDB_G0284515,B-box zinc finger-containing protein
DDB_G0272174,sulfotransferase domain-containing protein
DDB_G0290109,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0290993,counting factor associated protein A/B/C-related protein
DDB_G0277205,putative transmembrane protein
DDB_G0286595,EGF-like domain-containing protein
DDB_G0293186,expansin-like protein
DDB_G0292146,nucleolar protein 11 family protein
DDB_G0287703,EGF-like domain-containing protein
DDB_G0271294,RING-type domain-containing protein
DDB_G0267488,phosphatidylinositol-specific phospholipase C X domain-containing protein
DDB_G0284591,C2H2-type zinc finger-containing protein
DDB_G0272198,counting factor associated protein A/B/C-related protein
DDB_G0293940,counting factor associated protein A/B/C-related protein
DDB_G0268206,NmrA-like domain-containing protein
DDB_G0291470,FNIP repeat-containing protein
DDB_G0273089,coenzyme Q-binding protein COQ10-like
DDB_G0281249,has similarity to B box-type domain-containing protein
DDB_G0283495,WD repeat-containing protein 70
DDB_G0286887,universal stress protein A family
DDB_G0287239,THH1/TOM1/TOM3 domain-containing protein
DDB_G0279829,putative O-methyltransferase UstE-like
DDB_G0284105,zinc finger protein 277
DDB_G0348374,translation machinery-associated protein 7 homolog
DDB_G0287411,FNIP repeat-containing protein
DDB_G0279261,ribosomal RNA methyltransferase FtsJ domain-containing protein
DDB_G0289743,phytanoyl-CoA dioxygenase family protein
DDB_G0272302,"protein PET117 homolog, mitochondrial"
DDB_G0289991,J domain-containing protein
DDB_G0290675,putative transmembrane protein
DDB_G0283577,EGF-like domain-containing protein
DDB_G0289091,FNIP repeat-containing protein
DDB_G0288301,EGF-like domain-containing protein
DDB_G0284529,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0267576,p53 and DNA damage-regulated protein 1
DDB_G0277045,glycoside hydrolase family 15 domain-containing protein
DDB_G0276847,EGF-like domain-containing protein
DDB_G0276489,zinc finger protein-like 1
DDB_G0290835,EGF-like domain-containing protein
DDB_G0270744,Rab-like protein 6
DDB_G0290061,EGF-like domain-containing protein
DDB_G0287169,HAD-like hydrolase superfamily protein
DDB_G0271150,putative transmembrane protein
DDB_G0289995,FNIP repeat-containing protein
DDB_G0285799,FNIP repeat-containing protein
DDB_G0282101,mitochondrial protein Pet127 domain-containing protein
DDB_G0278327,tetratricopeptide repeat-containing protein
DDB_G0278233,DnaJ homolog subfamily C member 17
DDB_G0285975,von Willebrand factor A domain-containing protein
DDB_G0270304,putative transmembrane protein
DDB_G0275143,FNIP repeat-containing protein
DDB_G0267226,reverse transcriptase domain-containing protein
DDB_G0287841,putative transmembrane protein
DDB_G0291408,DUF4291 domain-containing protein
DDB_G0289205,HAT repeat-containing protein
DDB_G0269990,tubulin-specific chaperone E
DDB_G0292468,protein KRI1 homolog
DDB_G0272686,putative ribosome assembly protein 3
DDB_G0284109,FNIP repeat-containing protein
DDB_G0272482,FNIP repeat-containing protein
DDB_G0293774,FNIP repeat-containing protein
DDB_G0290545,FNIP repeat-containing protein
DDB_G0281027,transmembrane protein
DDB_G0282965,SecC-C motif-containing protein
DDB_G0273281,FNIP repeat-containing protein
DDB_G0271638,EGF-like domain-containing protein
DDB_G0287877,putative short-chain dehydrogenase/reductase
DDB_G0270058,EGF-like domain-containing protein
DDB_G0268788,FNIP repeat-containing protein
DDB_G0273803,coenzyme Q-binding protein COQ10-like
DDB_G0268384,PH domain-containing protein
DDB_G0289849,B-box zinc finger-containing protein/FNIP repeat-containing protein
DDB_G0269384,FNIP repeat-containing protein
DDB_G0267694,FNIP repeat-containing protein
DDB_G0278441,transmembrane and ubiquitin-like domain-containing protein 1/2
DDB_G0292314,GDT family protein
DDB_G0285439,protein phosphatase 1 regulatory subunit 21
DDB_G0279879,B box-type domain-containing protein
DDB_G0279639,SAP DNA-binding domain-containing protein
DDB_G0272252,LURP-one-related family protein
DDB_G0282655,translation machinery-associated protein 16
DDB_G0283729,pesticidal crystal protein N-terminal domain-containing protein
DDB_G0268420,EGF-like domain-containing protein
DDB_G0267608,counting factor associated protein A/B/C-related protein
DDB_G0280003,EGF-like domain-containing protein
DDB_G0288905,FNIP repeat-containing protein
DDB_G0293290,B box-type domain-containing protein
DDB_G0274899,MATH domain-containing protein
DDB_G0284633,DUF229 family protein
DDB_G0292656,FNIP repeat-containing protein
DDB_G0286917,FNIP repeat-containing protein
DDB_G0285219,counting factor associated protein A/B/C-related protein
DDB_G0293658,S-adenosyl-L-methionine-dependent methyltransferase superfamily protein
DDB_G0285485,G domain-containing protein
DDB_G0349136,EGF-like domain-containing protein
DDB_G0286417,EGF-like domain-containing protein
DDB_G0278829,SET domain-containing protein
DDB_G0290283,putative transmembrane protein
DDB_G0281571,FNIP repeat-containing protein
DDB_G0292138,probable RNA-binding protein EIF1AD
DDB_G0277603,MRH domain-containing protein
DDB_G0275377,mitochondrial K+-H+ exchange-related family protein
DDB_G0274473,putative transmembrane protein
DDB_G0276349,FNIP repeat-containing protein FnkC
DDB_G0285675,counting factor associated protein A/B/C-related protein
DDB_G0268352,EGF-like domain-containing protein
DDB_G0285109,FNIP repeat-containing protein
DDB_G0277153,counting factor associated protein A/B/C-related protein
DDB_G0270194,CXXC motif-containing zinc binding protein
DDB_G0283635,WD repeat-containing protein 89
DDB_G0286613,protein mono-ADP-ribosyltransferase PARP4
DDB_G0295691,solute carrier family 35 member F3/F4 family protein
DDB_G0282885,RNA polymerase II-associated protein 3
DDB_G0276179,counting factor associated protein A/B/C-related protein
DDB_G0268826,WD40 repeat-containing protein
DDB_G0277557,EGF-like domain-containing protein
DDB_G0274757,universal stress protein A family
DDB_G0279953,putative transmembrane protein
DDB_G0282513,FNIP repeat-containing protein
DDB_G0284935,counting factor associated protein A/B/C-related protein
DDB_G0274755,receptor polysaccharide phosphotransferase Stealth family
DDB_G0274987,counting factor associated protein A/B/C-related protein
DDB_G0286211,EGF-like domain-containing protein
DDB_G0269998,putative transmembrane protein
DDB_G0270686,"quinoprotein amine dehydrogenase, beta chain-like domain-containing protein"
DDB_G0275457,CBS domain-containing protein
DDB_G0290065,FNIP repeat-containing protein
DDB_G0273933,putative cell surface glycoprotein
DDB_G0275637,energy-dependent translational throttle protein EttA family protein
DDB_G0274745,queuosine salvage protein family
DDB_G0286209,EGF-like domain-containing protein
DDB_G0282511,FNIP repeat-containing protein
DDB_G0276275,counting factor associated protein A/B/C-related protein
DDB_G0276419,acyl-coenzyme A thioesterase 13 ortholog
DDB_G0277177,methyltransferase-like protein 25
DDB_G0282477,DUF1289 domain-containing protein
DDB_G0277547,FNIP repeat-containing protein
DDB_G0272024,B box-type domain-containing protein
DDB_G0274245,putative transmembrane protein
DDB_G0274515,sulfotransferase domain-containing protein
DDB_G0293664,EGF-like domain-containing protein
DDB_G0269062,trafficking protein particle complex subunit 13
DDB_G0284701,D-galactonate dehydratase DgoD-like family protein
DDB_G0280257,cms1 family protein
DDB_G0272072,B box-type domain-containing protein
DDB_G0277325,EGF-like domain-containing protein
DDB_G0277171,FNIP repeat-containing protein
DDB_G0292740,von Willebrand factor A domain-containing protein
DDB_G0275413,transmembrane and coiled-coil domain-containing protein
DDB_G0290525,FNIP repeat-containing protein
DDB_G0293828,mitochondrial escape protein 2 C-terminal domain-containing protein
DDB_G0282483,V-type ATPase assembly factor Pkr1 family protein
DDB_G0282843,putative transmembrane protein
DDB_G0276861,protein HGH1 homolog
DDB_G0269836,C2 domain-containing protein
DDB_G0292320,protein unc-50 homolog
DDB_G0283869,EGF-like domain-containing protein
DDB_G0293578,pesticidal crystal family protein
DDB_G0276277,counting factor associated protein A/B/C-related protein
DDB_G0269014,transmembrane protein 131-like domain-containing protein
DDB_G0267756,peptidase C39-like domain-containing protein
DDB_G0276857,THH1/TOM1/TOM3 domain-containing protein
DDB_G0272823,FNIP repeat-containing protein
DDB_G0284765,counting factor associated protein A/B/C-related protein
DDB_G0290473,putative short-chain dehydrogenase/reductase
DDB_G0279945,transmembrane protein
DDB_G0269928,counting factor associated protein A/B/C-related protein
DDB_G0286323,EGF-like domain-containing protein
DDB_G0269296,UNC93-like protein 3 family protein
DDB_G0282497,ribosome biogenesis protein Slx9-like family protein
DDB_G0272366,EGF-like domain-containing protein
DDB_G0284025,FNIP repeat-containing protein
DDB_G0268570,FNIP repeat-containing protein
DDB_G0292098,EGF-like domain-containing protein
DDB_G0268564,peroxisomal membrane protein 4
DDB_G0291169,DUF6748 domain-containing protein
DDB_G0285685,putative transmembrane protein
DDB_G0270300,putative transmembrane protein
DDB_G0278067,FNIP repeat-containing protein
DDB_G0274949,FNIP repeat-containing protein
DDB_G0281177,transmembrane protein 208
DDB_G0269004,EGF-like domain-containing protein
DDB_G0274845,has similarity to B box-type domain-containing protein
DDB_G0286405,Mad1/Cdc20-bound-Mad2 binding family protein
DDB_G0283985,UNC93-like protein 3 family protein
DDB_G0289617,B box-type domain-containing protein
DDB_G0284223,transmembrane protein with metallophosphoesterase domain
DDB_G0285335,tRNA-splicing endonuclease subunit Sen54
DDB_G0275067,Retinitis pigmentosa 9 protein
DDB_G0287667,EGF-like domain-containing protein
DDB_G0281143,putative transmembrane protein
DDB_G0278199,has similarity to B box-type domain-containing protein
DDB_G0285691,putative transmembrane protein
DDB_G0274155,membralin domain-containing protein
DDB_G0273947,RING-type domain-containing protein/FNIP repeat-containing protein
DDB_G0275575,carbohydrate binding domain-containing protein
DDB_G0277747,SREBP regulating gene protein
DDB_G0278857,Pants/Emi1-like family protein
DDB_G0287621,mitochondrial escape protein 2 ortholog
DDB_G0268116,Factor VIII intron 22 protein
DDB_G0279203,FNIP repeat-containing protein
DDB_G0349499,EGF-like domain-containing protein
DDB_G0291147,BTB domain-containing protein
DDB_G0286565,DET1- and DDB1-associated protein 1 domain-containing protein
DDB_G0281945,thioredoxin domain-containing protein 15 family protein
DDB_G0270158,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0293926,FNIP repeat-containing protein
DDB_G0287665,EGF-like domain-containing protein
DDB_G0279577,THH1/TOM1/TOM3 domain-containing protein
DDB_G0272700,heat shock 70 kDa protein 12A
DDB_G0268950,receptor polysaccharide phosphotransferase Stealth family
DDB_G0291414,COMM domain-containing protein 9 ortholog
DDB_G0275285,FNIP repeat-containing protein
DDB_G0279485,EGF-like domain-containing protein
DDB_G0271136,putative methionine-R-sulfoxide reductase
DDB_G0292680,coiled-coil domain-containing protein 93 ortholog
DDB_G0279155,THUMP domain-containing protein
DDB_G0289741,putative transmembrane protein
DDB_G0273077,"zinc finger, RING-CH-type, domain-containing protein"
DDB_G0286929,"RNA 2'-phosphotransferase, Tpt1/KptA family"
DDB_G0284559,FNIP repeat-containing protein
DDB_G0272162,FNIP repeat-containing protein
DDB_G0285605,acyl transferase domain-containing protein
DDB_G0275991,acyltransferase domain-containing protein
DDB_G0289755,RAB11-binding protein RELCH ortholog
DDB_G0295675,pollen receptor-like kinase 1-6/SFR4-like domain-containing protein
DDB_G0289739,FNIP repeat-containing protein
DDB_G0276097,P-loop containing nucleoside triphosphate hydrolase domain-containing protein
DDB_G0291167,N-acetyltransferase domain-containing protein
DDB_G0291722,UNC93-like protein MFSD11 ortholog
DDB_G0286759,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2
DDB_G0275107,beta-lactamase-related domain-containing protein
DDB_G0272364,EGF-like domain-containing protein
DDB_G0273823,FNIP repeat-containing protein
DDB_G0284777,store-operated calcium entry-associated regulatory factor
DDB_G0286431,EGF-like domain-containing protein
DDB_G0275789,EGF-like domain-containing protein
DDB_G0291808,ankyrin repeat-containing protein
DDB_G0285865,FNIP repeat-containing protein
DDB_G0279843,"extradiol aromatic ring-opening dioxygenase, DODA-type"
DDB_G0285359,putative transmembrane protein
DDB_G0282699,EGF-like domain-containing protein
DDB_G0292874,PSME3-interacting protein
DDB_G0292410,zinc finger CCCH domain-containing protein 15
DDB_G0271130,constitutive coactivator of PPAR-gamma family protein
DDB_G0295733,acyl-coenzyme A thioesterase 13 ortholog
